district,mae,rmse
Mandi,125.1457290649414,151.77373810420892
Washim,126.629638671875,150.24054280760902
Burhanpur,127.02684020996094,151.98269072907613
Lakhimpur,127.66449737548828,160.55018929060782
Bhadrak,128.12290954589844,145.17510978125694
Sheohar,128.47442626953125,158.11100481544605
Nalbari,128.64678955078125,167.27346504862928
Navsari,128.87583923339844,137.18216105784308
Dibrugarh,128.96377563476562,132.2376382455086
Ramanathapuram,129.56698608398438,159.92321155401427
Kendrapara,130.5806121826172,173.85274614957913
Dhamtari,130.95974731445312,146.79912268768842
South Garo Hills,131.8498077392578,174.06281979324305
Patiala,132.18673706054688,154.3647263787942
Punch,132.6309051513672,150.34576035342667
Vizianagaram,133.21971130371094,162.77299184754207
Karur,134.32138061523438,156.5063397278206
Raigarh,134.52476501464844,146.7220946104403
Kurukshetra,134.73338317871094,152.5540311557679
Hassan,134.91848754882812,167.40261861377797
Dhemaji,135.06532287597656,155.2700772042057
Jhajjar,135.1951904296875,156.0740697053005
Rohtak,135.5494384765625,154.7388046233071
Alappuzha,135.67214965820312,164.89297547007575
Sundargarh,135.75213623046875,154.9973286060118
Chandrapur,135.79495239257812,161.66110385618427
Nicobar,138.64959716796875,138.64959768243108
Udalguri,139.0659637451172,153.61695208781484
Latehar,139.1770782470703,160.11624805317228
Tehri Garhwal,139.74876403808594,167.1220257308264
Hanumangarh,140.0234375,163.860911865826
Rajouri,141.11865234375,170.5276393469692
Jalandhar,142.98655700683594,164.72803106560218
Warangal,143.7657470703125,170.88873847477487
Anantnag,143.95501708984375,169.861426748026
Surguja,144.4864501953125,166.18357460576541
Dindori,144.58766174316406,172.17909462243085
North & Middle Andaman,146.33404541015625,146.33404369370103
West Tripura,146.92816162109375,163.25922399285744
Srikakulam,147.47055053710938,181.44377572680744
Udhampur,148.88851928710938,175.1620455107213
Rewari,149.2615966796875,165.0637838363552
Hailakandi,149.32406616210938,182.7078760446577
Gurdaspur,149.57359313964844,184.54007440797244
South Andaman,149.99603271484375,149.99603510384867
Ramgarh,149.9968719482422,168.74025434821414
Kurung Kumey,150.31243896484375,191.0480960386677
Auraiya,151.04171752929688,176.30481749480074
Adilabad,151.78152465820312,177.73319848511701
Sivaganga,152.12850952148438,180.67283103720936
Jashpur,152.4392547607422,176.73919256209132
Alirajpur,154.63162231445312,192.6538447741181
Karbi Anglong,155.47239685058594,174.64867636558256
Tonk,155.54302978515625,183.58923664665093
Khordha,156.20062255859375,198.34383616273533
Nainital,156.2069854736328,180.07414922400716
Jammu,156.48768615722656,205.4614281014809
Jagatsinghapur,156.62060546875,183.4428661906753
Akola,156.90115356445312,177.12906333553792
Namakkal,157.33103942871094,182.75594210585876
Marigaon,157.54298400878906,184.70705268749214
Krishnagiri,157.56260681152344,195.05065447852257
Mahendragarh,158.50421142578125,177.07367375615158
Chitradurga,158.82839965820312,227.10751686976369
