district,mae,rmse
Bijapur,992.4156494140625,1097.5604197491818
Sheohar,993.8135986328125,1148.528297431108
Puri,995.298583984375,1414.5363639723087
Hoshiarpur,999.1781616210938,1430.6509008140315
Sirohi,999.2135620117188,1346.1357658126465
Banka,1000.5706176757812,1253.17915718384
Arwal,1004.5652465820312,1085.4108669070897
Jagatsinghapur,1007.5537109375,1346.022705974903
Panna,1008.1595458984375,1353.750900276709
Kodarma,1008.238525390625,1186.87867956249
Kendrapara,1011.1734619140625,1397.049748577337
Garhwa,1014.2742919921875,1302.628544520655
Kottayam,1014.5359497070312,1241.4596247965537
Faridkot,1015.6331787109375,1253.308222266175
Seoni,1017.6171264648438,1340.4900223425761
Koppal,1020.1367797851562,1252.9224337523851
Dharwad,1022.3017578125,1479.3067633185485
Dhenkanal,1022.4677734375,1345.6713008755146
Burhanpur,1023.39208984375,1387.2890380162312
Kodagu,1026.265625,1045.0101674146524
Gadag,1026.3211669921875,1188.768480403144
Dhubri,1026.937255859375,1268.091183629947
Ariyalur,1027.364013671875,1309.877618329285
Bargarh,1029.78076171875,1454.6266703178517
Vidisha,1032.4461669921875,1415.7291849079047
Theni,1034.205078125,1369.191093310207
Dhar,1039.9095458984375,1397.806138203721
Palamu,1042.2935791015625,1294.5890274523417
Kolkata,1045.150146484375,1252.5457576472006
Karimganj,1050.458740234375,1235.3644199182686
Bankura,1053.0645751953125,1327.5847430578585
Rewari,1053.116455078125,1289.1015281970617
Kangra,1054.629638671875,1375.589191946491
Sangrur,1057.2484130859375,1332.5262661576319
Narayanpur,1058.68115234375,1219.1786169384698
Neemuch,1064.87109375,1259.4097823980883
Mahoba,1066.598876953125,1270.799846553343
Mandya,1067.5869140625,1387.2048785237168
Gurdaspur,1070.67529296875,1320.335468735124
Kathua,1072.557861328125,1209.2562797025287
Karur,1074.1163330078125,1387.0468629429938
Dumka,1076.7552490234375,1311.132430382225
Bathinda,1078.1524658203125,1467.78872798506
Gautam Buddha Nagar,1079.02880859375,1374.5021826101258
Raisen,1079.551025390625,1431.6170926613024
Mandi,1080.978271484375,1314.1252794159316
Jhabua,1081.557861328125,1427.2054424643986
Sundargarh,1081.683349609375,1336.9526917583883
Alirajpur,1082.467529296875,1227.7813832274865
Tarn Taran,1082.61572265625,1362.3371003536533
Barwani,1086.92578125,1502.1765042763784
Sultanpur,1088.3985595703125,1461.8905567791319
Kohima,1092.54052734375,1110.65746294706
Balangir,1097.98388671875,1594.297807813835
Kendujhar,1102.59423828125,1555.7189656232902
Udupi,1105.277099609375,1200.6137492965838
Dindori,1105.46435546875,1303.368999938237
Banswara,1106.791259765625,1452.6054178612994
Bhojpur,1107.1278076171875,1253.0416992263267
Farrukhabad,1107.54736328125,1374.6192654695335
Singrauli,1108.7373046875,1393.8107834279372
Rudraprayag,1111.701904296875,1242.6010522287513
Longleng,1111.9072265625,1129.3751037631387
Sawai Madhopur,1113.588134765625,1476.5078733281446
Lakhimpur,1117.99072265625,1306.0636469942804
Pakur,1118.47607421875,1221.4184377190315
Sirsa,1124.4056396484375,1379.2792501883002
Anugul,1124.682373046875,1542.2480345262236
South Tripura,1130.2322998046875,1268.032826862144
Moga,1134.86572265625,1387.5232430485623
Udhampur,1137.9931640625,1220.0353478485777
Umaria,1139.471435546875,1292.8330325297231
Chamba,1139.5504150390625,1277.5601257866497
Nawada,1142.512451171875,1283.7734905348373
West Tripura,1142.593994140625,1421.7926624511747
Mahesana,1143.327880859375,1357.5157457650353
Khagaria,1143.9254150390625,1323.3305520541721
Jhalawar,1145.018310546875,1504.6748818266356
Mau,1145.66015625,1432.7501526784074
Bidar,1148.974853515625,1541.285340227435
Champawat,1155.1749267578125,1249.7173680476717
Latehar,1158.892333984375,1295.4886143845495
Chikkaballapura,1158.9736328125,1305.427803442228
Koriya,1160.496337890625,1501.7894326436046
Diu,1160.6639404296875,1240.0859345222814
Koraput,1168.778076171875,1535.012540665385
Nadia,1170.3756103515625,1394.4821171316612
Tonk,1181.2314453125,1432.1858294229837
Kandhamal,1186.698486328125,1398.380760022105
Bhadrak,1187.3594970703125,1595.4008900586712
Sheopur,1187.690673828125,1313.7200995645915
Tehri Garhwal,1188.249755859375,1490.0435396323155
Dhanbad,1188.8505859375,1519.3786558985223
Patiala,1190.114013671875,1509.5629334347077
Datia,1190.971435546875,1316.8797876040167
Chandigarh,1191.65234375,1316.703364467487
Mansa,1192.222900390625,1497.0768183363205
Anantnag,1197.313720703125,1392.8356866479262
Dausa,1199.6090087890625,1535.7656071158776
Rohtas,1203.264892578125,1365.3440958234667
Zunheboto,1203.265625,1227.4778511240029
Mirzapur,1203.893798828125,1446.329967538528
Sri Potti Sriramulu Nellore,1205.982177734375,1689.893487767794
Chirang,1209.9757080078125,1294.5743508968499
Mandla,1210.323486328125,1414.6111656564854
Kalahandi,1211.7169189453125,1605.1214128532458
Mathura,1214.8302001953125,1488.6202504332662
Morena,1215.7763671875,1542.1248328199633
Sant Kabir Nagar,1215.866943359375,1524.898931077073
Sehore,1219.283447265625,1514.5788193421959
Rajgarh,1224.4959716796875,1528.7615903076583
Anand,1225.289794921875,1496.488640117258
Jashpur,1244.93603515625,1410.7369084985337
Khammam,1260.154052734375,1496.5740877083233
Una,1261.0355224609375,1378.4504434327698
Birbhum,1263.6595458984375,1579.0072830737672
Rayagada,1263.7159423828125,1438.6986307076268
Shahdol,1264.9466552734375,1531.1466291639088
Kachchh,1267.0306396484375,1519.7419188796498
Ramanathapuram,1269.087890625,1619.0626918065898
Tikamgarh,1269.164794921875,1585.476032616072
Jamtara,1279.74365234375,1334.3813173152569
Bageshwar,1280.039794921875,1395.0023297471585
Hailakandi,1280.298583984375,1328.4435441523287
Nayagarh,1281.3709716796875,1445.9617041955157
Tuensang,1290.043701171875,1305.9382642376324
Fatehgarh Sahib,1290.430908203125,1454.0070495014802
Gwalior,1292.81787109375,1545.445243287513
Kannur,1300.601806640625,1539.0617271571664
Firozabad,1301.6865234375,1667.9955035910618
Golaghat,1302.017578125,1339.4200237416194
